City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Rikitea,PF,76.86,overcast clouds,-23.1203,-134.9692,People ThankYou
9,Kapaa,US,80.47,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
11,Butaritari,KI,82.11,few clouds,3.0707,172.7902,Isles Sunset Lodge
15,Hilo,US,77.11,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
31,Bengkulu,ID,75.49,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
36,Atuona,PF,78.19,light rain,-9.8,-139.0333,Villa Enata
39,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
40,Karratha,AU,83.79,broken clouds,-20.7377,116.8463,ibis Styles Karratha
50,Georgetown,MY,79.9,few clouds,5.4112,100.3354,Cititel Penang
53,Kedougou,SN,82.94,few clouds,12.5579,-12.1743,Relais de Kédougou
56,Vaini,TO,80.55,light rain,-21.2,-175.2,Keleti Beach Resort
62,Santa Ana,US,77.41,clear sky,33.7456,-117.8678,Santa Ana Travel Inn
70,Bandarbeyla,SO,75.2,overcast clouds,9.4942,50.8122,JABIR HOTEL
76,Kavieng,PG,82.11,light rain,-2.5744,150.7967,Nusa Island Retreat
77,Vila Velha,BR,78.94,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
80,Carnarvon,AU,80.67,scattered clouds,-24.8667,113.6333,Hospitality Carnarvon
85,Roebourne,AU,87.1,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
86,Thinadhoo,MV,81.61,broken clouds,0.5333,72.9333,
87,Puerto Ayora,EC,75.47,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
90,Acapulco,MX,84.02,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
92,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
93,Road Town,VG,77.09,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
99,Lorengau,PG,79.09,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
100,Hobyo,SO,76.57,light rain,5.3505,48.5268,Halane Hotel and Restaurent
103,Hithadhoo,MV,81.55,broken clouds,-0.6,73.0833,Scoop Guest House
104,Aden,YE,76.53,scattered clouds,12.7794,45.0367,Sama Emirate Hotel
106,Souillac,MU,79.18,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
109,Nova Esperanca,BR,75.83,scattered clouds,4.438,-61.1151,Pousada Macunaíma
114,Pitimbu,BR,79.39,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
116,Caravelas,BR,79.59,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
117,Manadhoo,MV,82.06,broken clouds,5.7667,73.3833,Bon Abri maldives
131,Harper,LR,79.52,broken clouds,4.375,-7.7169,Screensaver
152,Sao Joao Da Barra,BR,75.58,moderate rain,-21.6403,-41.0511,Pousada Porto De Canoas
155,Mount Isa,AU,76.77,light rain,-20.7333,139.5,ibis Styles Mt Isa Verona
165,Esmeraldas,BR,76.06,overcast clouds,-19.7625,-44.3139,Bom Será - Marcinho e Fernanda
167,Kalmunai,LK,76.06,scattered clouds,7.4167,81.8167,VS Villa
168,Delta Del Tigre,UY,82.89,clear sky,-34.7633,-56.3853,FINCA SUAREZ
178,Mackay,AU,84.69,broken clouds,-21.15,149.2,International Lodge Motel
181,Faanui,PF,80.98,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
186,Neiafu,TO,81.72,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
192,Boueni,YT,78.78,clear sky,-12.9025,45.0761,The feet in water
194,Cayenne,GF,79.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
195,Calderitas,MX,77.11,clear sky,18.55,-88.25,Hotel Hacienda Campestre
202,Port-Gentil,GA,81.0,overcast clouds,-0.7193,8.7815,Fengshui Residence
208,Nelson Bay,AU,82.76,broken clouds,-32.7167,152.15,Mantra Nelson Bay
219,Ternate,ID,81.09,overcast clouds,0.8,127.4,Sahid Bela Ternate Hotel
223,Honiara,SB,83.75,overcast clouds,-9.4333,159.95,Heritage Park Hotel
229,Port Macquarie,AU,83.89,clear sky,-31.4333,152.9167,Rydges Port Macquarie
233,Meulaboh,ID,76.03,broken clouds,4.1363,96.1285,Kost Pria
237,Inirida,CO,77.97,few clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
241,Vaitape,PF,81.03,few clouds,-16.5167,-151.75,Conrad Bora Bora Nui
248,Chirongui,YT,78.73,clear sky,-12.9319,45.1483,La Villa Mahatsara
256,Camocim,BR,76.51,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
259,Mapimi,MX,75.97,broken clouds,25.8167,-103.85,Propiedad Lldm
268,Bulalacao,PH,80.13,few clouds,12.3254,121.3435,By The Sea Hotels
271,Axim,GH,77.9,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
272,Bonthe,SL,77.05,few clouds,7.5264,-12.505,Bonthe Holiday Village
273,Gadung,PH,80.6,broken clouds,6.8025,124.02,
276,Cabo San Lucas,MX,78.1,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
283,Grand Gaube,MU,79.2,overcast clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
