City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Bethel,US,41.3712,-73.414,22.5,56,0,3.44,clear sky
1,Jamestown,US,42.097,-79.2353,18.72,60,100,0.0,overcast clouds
2,Rikitea,PF,-23.1203,-134.9692,76.86,70,100,5.06,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,50.11,57,75,26.46,broken clouds
4,Terme,TR,41.2092,36.9739,46.33,73,94,4.27,light rain
5,Pevek,RU,69.7008,170.3133,-15.7,97,96,2.19,overcast clouds
6,Kaka,TM,37.3482,59.6143,39.52,63,0,4.99,clear sky
7,Mataura,NZ,-46.1927,168.8643,73.99,58,46,1.7,scattered clouds
8,Luderitz,NA,-26.6481,15.1594,64.76,87,65,9.51,broken clouds
9,Kapaa,US,22.0752,-159.319,80.47,63,0,1.99,clear sky
10,Nome,US,64.5011,-165.4064,0.1,71,0,0.0,clear sky
11,Butaritari,KI,3.0707,172.7902,82.11,76,22,20.94,few clouds
12,Castro,BR,-24.7911,-50.0119,63.25,98,98,9.19,overcast clouds
13,Dwarka,IN,22.2394,68.9678,69.76,82,0,9.69,clear sky
14,Provideniya,RU,64.3833,-173.3,10.51,72,0,17.9,clear sky
15,Hilo,US,19.7297,-155.09,77.11,62,20,8.05,few clouds
16,Te Anau,NZ,-45.4167,167.7167,69.71,65,25,1.05,scattered clouds
17,Homer,US,59.6425,-151.5483,24.67,85,40,3.44,scattered clouds
18,Ushuaia,AR,-54.8,-68.3,44.26,70,40,28.77,scattered clouds
19,Yellowknife,CA,62.456,-114.3525,-6.45,79,75,8.05,light snow
20,Albany,US,42.6001,-73.9662,16.45,45,15,8.01,few clouds
21,Klyuchi,RU,52.2667,79.1667,14.22,94,100,6.82,overcast clouds
22,Husavik,IS,66.0449,-17.3389,24.71,68,44,31.23,scattered clouds
23,Busselton,AU,-33.65,115.3333,65.08,61,92,17.98,overcast clouds
24,Bluff,NZ,-46.6,168.3333,61.88,84,91,4.54,overcast clouds
25,Salalah,OM,17.0151,54.0924,68.09,77,0,5.75,clear sky
26,Nouadhibou,MR,20.931,-17.0347,64.38,63,100,16.11,overcast clouds
27,Kovernino,RU,57.1253,43.8142,17.69,97,99,6.76,overcast clouds
28,Ouadda,CF,8.0777,22.4007,64.4,25,36,5.03,scattered clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,-0.4,78,100,20.71,light snow
30,Beatrice,US,40.2681,-96.747,47.17,39,0,5.75,clear sky
31,Bengkulu,ID,-3.8004,102.2655,75.49,89,99,4.18,moderate rain
32,Cape Town,ZA,-33.9258,18.4232,72.12,78,0,4.0,clear sky
33,Khatanga,RU,71.9667,102.5,-5.49,98,99,9.46,overcast clouds
34,Broome,US,42.2506,-75.833,14.83,73,0,1.99,clear sky
