City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Cabo San Lucas,MX,2022-01-28 23:58:42,22.8909,-109.9124,76.51,58,5,4.0
1,Adre,TD,2022-01-28 23:59:13,13.4667,22.2,57.78,17,10,14.97
2,Ushuaia,AR,2022-01-28 23:59:14,-54.8,-68.3,60.46,59,40,3.44
3,Rikitea,PF,2022-01-28 23:59:14,-23.1203,-134.9692,78.26,69,100,14.18
4,Olafsvik,IS,2022-01-28 23:59:14,64.8945,-23.7142,23.54,65,63,13.56
5,Teguldet,RU,2022-01-28 23:59:15,57.3064,88.1667,1.83,97,97,4.74
6,Saskylakh,RU,2022-01-28 23:58:16,71.9167,114.0833,-1.75,92,100,5.57
7,Umm Lajj,SA,2022-01-28 23:59:15,25.0213,37.2685,60.48,49,2,13.35
8,Castro,BR,2022-01-28 23:56:50,-24.7911,-50.0119,60.19,99,100,9.01
9,Antsohihy,MG,2022-01-28 23:59:16,-14.8796,47.9875,73.58,89,7,2.37
10,Nizhniy Baskunchak,RU,2022-01-28 23:59:16,48.2198,46.8311,10.17,95,20,6.35
11,Pangnirtung,CA,2022-01-28 23:59:16,66.1451,-65.7125,-11.2,77,100,0.0
12,Albany,US,2022-01-28 23:54:52,42.6001,-73.9662,25.75,78,100,1.99
13,Butaritari,KI,2022-01-28 23:59:17,3.0707,172.7902,81.82,79,55,16.42
14,Hailar,CN,2022-01-28 23:59:17,49.2,119.7,-17.1,95,39,5.91
15,Port Hedland,AU,2022-01-28 23:59:18,-20.3167,118.5667,82.45,69,80,13.8
16,Punta Arenas,CL,2022-01-28 23:55:24,-53.15,-70.9167,69.91,21,0,10.36
17,Tazovskiy,RU,2022-01-28 23:59:18,67.4667,78.7,0.32,97,98,5.48
18,Khatanga,RU,2022-01-28 23:59:19,71.9667,102.5,-2.54,88,100,4.97
19,Oistins,BB,2022-01-28 23:59:19,13.0667,-59.5333,75.51,78,40,9.22
20,Kumbo,CM,2022-01-28 23:59:19,6.2,10.6667,60.12,30,92,2.95
21,Jamestown,US,2022-01-28 23:58:22,42.097,-79.2353,16.09,10,100,9.71
22,Samana,DO,2022-01-28 23:59:20,19.2056,-69.3369,76.96,78,14,7.14
23,Walvis Bay,NA,2022-01-28 23:59:21,-22.9575,14.5053,64.09,82,4,5.75
24,Hermanus,ZA,2022-01-28 23:59:21,-34.4187,19.2345,60.8,77,1,11.74
25,Georgetown,MY,2022-01-28 23:59:21,5.4112,100.3354,79.95,92,20,1.99
26,Torbay,CA,2022-01-28 23:59:22,47.6666,-52.7314,27.57,84,100,10.36
27,Lavrentiya,RU,2022-01-28 23:59:22,65.5833,-171.0,-6.23,94,6,3.44
28,Codrington,AU,2022-01-28 23:59:23,-38.2667,141.9667,64.53,75,97,12.66
29,Hobart,AU,2022-01-28 23:58:04,-42.8794,147.3294,67.26,77,75,14.97
30,Moose Factory,CA,2022-01-28 23:59:23,51.2585,-80.6094,-2.2,65,100,6.91
31,Port Elizabeth,ZA,2022-01-28 23:59:23,-33.918,25.5701,65.1,88,75,13.8
32,Vaini,TO,2022-01-28 23:59:24,-21.2,-175.2,82.56,79,98,18.45
33,Bintulu,MY,2022-01-28 23:54:51,3.1667,113.0333,77.41,94,40,5.01
34,Qaanaaq,GL,2022-01-28 23:58:33,77.484,-69.3632,-12.86,59,22,8.03
35,Sinnamary,GF,2022-01-28 23:59:24,5.3833,-52.95,75.09,89,34,8.66
36,Atuona,PF,2022-01-28 23:57:30,-9.8,-139.0333,77.76,72,8,13.53
37,Kathu,TH,2022-01-28 23:59:25,7.9178,98.3332,75.02,77,10,3.44
38,Bluff,NZ,2022-01-28 23:59:25,-46.6,168.3333,60.96,64,93,6.31
39,Murupara,NZ,2022-01-28 23:59:26,-38.4667,176.7,70.56,28,86,3.58
40,Kaita,JP,2022-01-28 23:59:26,34.3667,132.55,42.17,57,90,4.05
41,Caravelas,BR,2022-01-28 23:59:26,-17.7125,-39.2481,77.67,81,20,8.61
42,Kapaa,US,2022-01-28 23:59:27,22.0752,-159.319,80.47,76,10,1.01
43,Kailua,US,2022-01-28 23:59:27,21.4022,-157.7394,81.14,64,40,6.91
44,Colares,PT,2022-01-28 23:59:27,38.7992,-9.4469,57.29,47,0,5.01
45,Le Vauclin,MQ,2022-01-29 00:00:29,14.5452,-60.8388,74.84,88,75,4.61
46,Saint Pete Beach,US,2022-01-29 00:00:30,27.7253,-82.7412,63.01,81,40,3.0
47,Carnarvon,AU,2022-01-29 00:00:30,-24.8667,113.6333,75.27,88,75,12.66
48,Magadan,RU,2022-01-28 23:56:45,59.5667,150.8,13.21,75,100,15.35
49,Saint-Philippe,RE,2022-01-29 00:00:31,-21.3585,55.7679,74.79,75,7,4.97
50,Alice Springs,AU,2022-01-28 23:58:00,-23.7,133.8833,76.55,94,100,10.36
51,Kahului,US,2022-01-29 00:00:32,20.8947,-156.47,81.66,67,5,7.94
52,Mayor Pablo Lagerenza,PY,2022-01-29 00:00:33,-19.9309,-60.7718,78.26,67,74,3.36
53,Noumea,NC,2022-01-29 00:00:34,-22.2763,166.4572,82.38,99,100,11.25
54,Karratha,AU,2022-01-29 00:00:34,-20.7377,116.8463,80.89,66,43,11.43
55,Barrow,US,2022-01-28 23:59:59,71.2906,-156.7887,-18.22,97,92,12.71
56,Kodiak,US,2022-01-29 00:00:35,57.79,-152.4072,26.11,80,100,18.41
57,Sassandra,CI,2022-01-29 00:00:36,4.95,-6.0833,78.6,86,59,4.97
58,Panaba,MX,2022-01-29 00:00:36,21.2833,-88.2667,71.56,77,72,11.1
59,Mataura,NZ,2022-01-29 00:00:37,-46.1927,168.8643,75.13,29,97,5.79
60,Beloha,MG,2022-01-29 00:00:37,-25.1667,45.05,68.9,93,0,5.46
61,Cape Town,ZA,2022-01-29 00:00:04,-33.9258,18.4232,67.1,69,0,5.99
62,Lodja,CD,2022-01-29 00:00:38,-3.4833,23.4333,71.2,96,100,1.03
63,Flin Flon,CA,2022-01-29 00:00:38,54.7682,-101.865,4.44,92,100,8.1
64,Kavieng,PG,2022-01-29 00:00:39,-2.5744,150.7967,83.1,74,99,4.72
65,Avarua,CK,2022-01-29 00:00:40,-21.2078,-159.775,82.45,69,19,13.8
66,Kavaratti,IN,2022-01-29 00:00:40,10.5669,72.642,80.6,71,18,9.4
67,Varnamo,SE,2022-01-29 00:00:40,57.186,14.04,36.75,90,100,1.99
68,Port Hardy,CA,2022-01-29 00:00:38,50.6996,-127.4199,46.76,78,100,9.57
69,Medea,DZ,2022-01-29 00:00:41,36.2642,2.7539,28.85,61,2,3.74
70,Katsuura,JP,2022-01-29 00:00:42,35.1333,140.3,45.1,70,100,7.85
71,Ballina,AU,2022-01-28 23:58:28,-28.8667,153.5667,78.84,75,75,6.91
72,Hithadhoo,MV,2022-01-28 23:58:36,-0.6,73.0833,80.29,66,53,7.94
73,Roebourne,AU,2022-01-29 00:00:42,-20.7833,117.1333,82.08,61,49,12.75
74,Port Alfred,ZA,2022-01-28 23:59:47,-33.5906,26.891,65.79,81,22,7.96
